# X	Z
0.000000000000000000e+00	1.000000000000000000e+00
1.000000000000000021e-02	2.875068116842331278e+01
2.000000000000000042e-02	2.884611302078809203e+01
2.999999999999999889e-02	2.894166918204880190e+01
4.000000000000000083e-02	2.903734944435528931e+01
5.000000000000000278e-02	2.913315360153962175e+01
5.999999999999999778e-02	2.922908144911659889e+01
7.000000000000000666e-02	2.932513278428415404e+01
8.000000000000000167e-02	2.942130740592345006e+01
8.999999999999999667e-02	2.951760511459893621e+01
1.000000000000000056e-01	2.961402571255813498e+01
1.100000000000000006e-01	2.971056900373125487e+01
1.199999999999999956e-01	2.980723479373062190e+01
1.300000000000000044e-01	2.990402288985001533e+01
1.400000000000000133e-01	3.000093310106371192e+01
1.499999999999999944e-01	3.009796523802545209e+01
1.600000000000000033e-01	3.019511911306718588e+01
1.700000000000000122e-01	3.029239454019769440e+01
1.799999999999999933e-01	3.038979133510101249e+01
1.900000000000000022e-01	3.048730931513470210e+01
2.000000000000000111e-01	3.058494829932795511e+01
2.099999999999999922e-01	3.068270810837960028e+01
2.200000000000000011e-01	3.078058856465586146e+01
2.300000000000000100e-01	3.087858949218803417e+01
2.399999999999999911e-01	3.097671071666995957e+01
2.500000000000000000e-01	3.107495206545543098e+01
2.600000000000000089e-01	3.117331336755534466e+01
2.700000000000000178e-01	3.127179445363480070e+01
2.800000000000000266e-01	3.137039515601004069e+01
2.899999999999999800e-01	3.146911530864517204e+01
2.999999999999999889e-01	3.156795474714887106e+01
3.099999999999999978e-01	3.166691330877088717e+01
3.200000000000000067e-01	3.176599083239841903e+01
3.300000000000000155e-01	3.186518715855234163e+01
3.400000000000000244e-01	3.196450212938336222e+01
3.500000000000000333e-01	3.206393558866801641e+01
3.599999999999999867e-01	3.216348738180450795e+01
3.699999999999999956e-01	3.226315735580848099e+01
3.800000000000000044e-01	3.236294535930866800e+01
3.900000000000000133e-01	3.246285124254236365e+01
4.000000000000000222e-01	3.256287485735086307e+01
4.100000000000000311e-01	3.266301605717470835e+01
4.199999999999999845e-01	3.276327469704889239e+01
4.299999999999999933e-01	3.286365063359793481e+01
4.400000000000000022e-01	3.296414372503079449e+01
4.500000000000000111e-01	3.306475383113575361e+01
4.600000000000000200e-01	3.316548081327516684e+01
4.700000000000000289e-01	3.326632453438009662e+01
4.799999999999999822e-01	3.336728485894491314e+01
4.899999999999999911e-01	3.346836165302165966e+01
5.000000000000000000e-01	3.356955478421449612e+01
5.100000000000000089e-01	3.367086412167392240e+01
5.200000000000000178e-01	3.377228953609098738e+01
5.300000000000000266e-01	3.387383089969132755e+01
5.400000000000000355e-01	3.397548808622921257e+01
5.500000000000000444e-01	3.407726097098144891e+01
5.600000000000000533e-01	3.417914943074121936e+01
5.700000000000000622e-01	3.428115334381180190e+01
5.799999999999999600e-01	3.438327259000029557e+01
5.899999999999999689e-01	3.448550705061119714e+01
5.999999999999999778e-01	3.458785660843989263e+01
6.099999999999999867e-01	3.469032114776616993e+01
6.199999999999999956e-01	3.479290055434751849e+01
6.300000000000000044e-01	3.489559471541251412e+01
6.400000000000000133e-01	3.499840351965400487e+01
6.500000000000000222e-01	3.510132685722230406e+01
6.600000000000000311e-01	3.520436461971829800e+01
6.700000000000000400e-01	3.530751670018649691e+01
6.800000000000000488e-01	3.541078299310803601e+01
6.900000000000000577e-01	3.551416339439355596e+01
7.000000000000000666e-01	3.561765780137614001e+01
7.099999999999999645e-01	3.572126611280406649e+01
7.199999999999999734e-01	3.582498822883363232e+01
7.299999999999999822e-01	3.592882405102180599e+01
7.399999999999999911e-01	3.603277348231890898e+01
7.500000000000000000e-01	3.613683642706125454e+01
7.600000000000000089e-01	3.624101279096365857e+01
7.700000000000000178e-01	3.634530248111202155e+01
7.800000000000000266e-01	3.644970540595573993e+01
7.900000000000000355e-01	3.655422147530018151e+01
8.000000000000000444e-01	3.665885060029903997e+01
8.100000000000000533e-01	3.676359269344676051e+01
8.200000000000000622e-01	3.686844766857073807e+01
8.300000000000000711e-01	3.697341544082371456e+01
8.399999999999999689e-01	3.707849592667595573e+01
8.499999999999999778e-01	3.718368904390747787e+01
8.599999999999999867e-01	3.728899471160021761e+01
8.699999999999999956e-01	3.739441285013019467e+01
8.800000000000000044e-01	3.749994338115965320e+01
8.900000000000000133e-01	3.760558622762908954e+01
9.000000000000000222e-01	3.771134131374940068e+01
9.100000000000000311e-01	3.781720856499384809e+01
9.200000000000000400e-01	3.792318790809014217e+01
9.300000000000000488e-01	3.802927927101240613e+01
9.400000000000000577e-01	3.813548258297316806e+01
9.500000000000000666e-01	3.824179777441527506e+01
9.599999999999999645e-01	3.834822477700391374e+01
9.699999999999999734e-01	3.845476352361846040e+01
9.799999999999999822e-01	3.856141394834443048e+01
9.899999999999999911e-01	3.866817598646533582e+01
1.000000000000000000e+00	3.877504957445459866e+01
1.010000000000000009e+00	3.888203464996740877e+01
1.020000000000000018e+00	3.898913115183257361e+01
1.030000000000000027e+00	3.909633902004439676e+01
1.040000000000000036e+00	3.920365819575444277e+01
1.050000000000000044e+00	3.931108862126350090e+01
1.060000000000000053e+00	3.941863024001324334e+01
1.070000000000000062e+00	3.952628299657819611e+01
1.080000000000000071e+00	3.963404683665746830e+01
1.090000000000000080e+00	3.974192170706662353e+01
1.100000000000000089e+00	3.984990755572946597e+01
1.110000000000000098e+00	3.995800433166983368e+01
1.120000000000000107e+00	4.006621198500346281e+01
1.130000000000000115e+00	4.017453046692973828e+01
1.140000000000000124e+00	4.028295972972357220e+01
1.150000000000000133e+00	4.039149972672719713e+01
1.159999999999999920e+00	4.050015041234198065e+01
1.169999999999999929e+00	4.060891174202029674e+01
1.179999999999999938e+00	4.071778367225729767e+01
1.189999999999999947e+00	4.082676616058281382e+01
1.199999999999999956e+00	4.093585916555316118e+01
1.209999999999999964e+00	4.104506264674306237e+01
1.219999999999999973e+00	4.115437656473742578e+01
1.229999999999999982e+00	4.126380088112332345e+01
1.239999999999999991e+00	4.137333555848181987e+01
1.250000000000000000e+00	4.148298056037988601e+01
1.260000000000000009e+00	4.159273585136232043e+01
1.270000000000000018e+00	4.170260139694371304e+01
1.280000000000000027e+00	4.181257716360030940e+01
1.290000000000000036e+00	4.192266311876205975e+01
1.300000000000000044e+00	4.203285923080454012e+01
1.310000000000000053e+00	4.214316546904095162e+01
1.320000000000000062e+00	4.225358180371414107e+01
1.330000000000000071e+00	4.236410820598864291e+01
1.340000000000000080e+00	4.247474464794271398e+01
1.350000000000000089e+00	4.258549110256038261e+01
1.360000000000000098e+00	4.269634754372355445e+01
1.370000000000000107e+00	4.280731394620413255e+01
1.380000000000000115e+00	4.291839028565609482e+01
1.390000000000000124e+00	4.302957653860770648e+01
1.400000000000000133e+00	4.314087268245366147e+01
1.409999999999999920e+00	4.325227869544730197e+01
1.419999999999999929e+00	4.336379455669280247e+01
1.429999999999999938e+00	4.347542024613744616e+01
1.439999999999999947e+00	4.358715574456387998e+01
1.449999999999999956e+00	4.369900103358241239e+01
1.459999999999999964e+00	4.381095609562336790e+01
1.469999999999999973e+00	4.392302091392932795e+01
1.479999999999999982e+00	4.403519547254767019e+01
1.489999999999999991e+00	4.414747975632282362e+01
1.500000000000000000e+00	4.425987375088879361e+01
1.510000000000000009e+00	4.437237744266154493e+01
1.520000000000000018e+00	4.448499081883158368e+01
1.530000000000000027e+00	4.459771386735636867e+01
1.540000000000000036e+00	4.471054657695292889e+01
1.550000000000000044e+00	4.482348893709043125e+01
1.560000000000000053e+00	4.493654093798272697e+01
1.570000000000000062e+00	4.504970257058111116e+01
1.580000000000000071e+00	4.516297382656684789e+01
1.590000000000000080e+00	4.527635469834400084e+01
1.600000000000000089e+00	4.538984517903205074e+01
1.610000000000000098e+00	4.550344526245878285e+01
1.620000000000000107e+00	4.561715494315296837e+01
1.630000000000000115e+00	4.573097421633724480e+01
1.640000000000000124e+00	4.584490307792099628e+01
1.650000000000000133e+00	4.595894152449325532e+01
1.660000000000000142e+00	4.607308955331558309e+01
1.669999999999999929e+00	4.618734716231509196e+01
1.679999999999999938e+00	4.630171435007741110e+01
1.689999999999999947e+00	4.641619111583972312e+01
1.699999999999999956e+00	4.653077745948386479e+01
1.709999999999999964e+00	4.664547338152942757e+01
1.719999999999999973e+00	4.676027888312679437e+01
1.729999999999999982e+00	4.687519396605050304e+01
1.739999999999999991e+00	4.699021863269233990e+01
1.750000000000000000e+00	4.710535288605459669e+01
1.760000000000000009e+00	4.722059672974334887e+01
1.770000000000000018e+00	4.733595016796184041e+01
1.780000000000000027e+00	4.745141320550377628e+01
1.790000000000000036e+00	4.756698584774673577e+01
1.800000000000000044e+00	4.768266810064567096e+01
1.810000000000000053e+00	4.779845997072622055e+01
1.820000000000000062e+00	4.791436146507837890e+01
1.830000000000000071e+00	4.803037259134998749e+01
1.840000000000000080e+00	4.814649335774026184e+01
1.850000000000000089e+00	4.826272377299349614e+01
1.860000000000000098e+00	4.837906384639266832e+01
1.870000000000000107e+00	4.849551358775317311e+01
1.880000000000000115e+00	4.861207300741649107e+01
1.890000000000000124e+00	4.872874211624404950e+01
1.900000000000000133e+00	4.884552092561097680e+01
1.910000000000000142e+00	4.896240944739997047e+01
1.919999999999999929e+00	4.907940769399518643e+01
1.929999999999999938e+00	4.919651567827616390e+01
1.939999999999999947e+00	4.931373341361177154e+01
1.949999999999999956e+00	4.943106091385427447e+01
1.959999999999999964e+00	4.954849819333330885e+01
1.969999999999999973e+00	4.966604526684997012e+01
1.979999999999999982e+00	4.978370214967100083e+01
1.989999999999999991e+00	4.990146885752286465e+01
